Day,Time ,Title,Description,Type,Moderator/Mediator,Workshop lead,Speaker 1,Speaker 2,Speaker 3 ,Speaker 4
1,8:30 - 9:30,Coffee/Breakfast + Registration,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
1,9:30 AM,Opening Remarks,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
1,10:00 - 10:30 ,Keynote - Entrepreneurship,N/A,keynote,TBD,TBD,TBD,TBD,TBD,TBD
1,11:00 - 12:00,Identifying Opportunities,N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
1,11:00 - 12:00,Emerging Trends,N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
1,12:00 - 13:00,Fireside Chat - Reinventing Greece,N/A,keynote,TBD,TBD,TBD,TBD,TBD,TBD
1,13:00 - 14:00,Lunch,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
1,14:00 - 15:00,Deep Tech Entrepreneurship,,panel,TBD,TBD,TBD,TBD,TBD,TBD
1,14:00 - 15:00 ,Entrepreneurship in Academia,N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
1,15:00 - 16:30,Coffee + Networking,,general,TBD,TBD,TBD,TBD,TBD,TBD
1,15:00 - 16:30,Workshop (TBD),N/A,workshop,TBD,TBD,TBD,TBD,TBD,TBD
1,16:30 - 17:30,Keynote - AI or Digital Technology,N/A,keynote,TBD,TBD,TBD,TBD,TBD,TBD
1,17:30 - 18:30,Panel - AI,N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
1,18:30 - 20:00,Research Showcase,N/A,workshop,TBD,TBD,TBD,TBD,TBD,TBD
1,18:30 - 20:00,Happy Hour + Networking,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
2,8:30 - 9:30 ,Coffee/Breakfast + Registration,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
2,9:30 - 10:30,Keynote - Biotech,N/A,keynote,TBD,TBD,TBD,TBD,TBD,TBD
2,10:30 - 11:30,"Panel - Biotech: Frontiers at the intersection of business, biology, and medicine",N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
2,11:30 - 12:30,Seaside Chat - Choosing Greece,N/A,keynote,TBD,TBD,TBD,TBD,TBD,TBD
2,12:30 - 13:30,Lunch,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
2,13:30 - 14:30,Panel - Changing Greece: Research and entrepreneurship as vehicles for change and development,N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
,14:30 - 16:00,Coffee + Networking,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD
2,14:30 - 16:00,Workshop (TBD),N/A,workshop,TBD,TBD,TBD,TBD,TBD,TBD
2,16:00 - 17:00,Competition Pitches,N/A,competiton,TBD,TBD,TBD,TBD,TBD,TBD
2,17:00 - 18:00,Keynote - Sustainability,N/A,keynote,TBD,TBD,TBD,TBD,TBD,TBD
2,18:00 - 19:00,Panel - Sustainability: The roles of tech and entrepreneurship in sustainability,N/A,panel,TBD,TBD,TBD,TBD,TBD,TBD
2,7:00 PM,Closing + Competition Finale,N/A,competiton,TBD,TBD,TBD,TBD,TBD,TBD